run_tag,family,dataset,emb,n_test,acc,tpr,tnr,human_f1,ai_f1,avg_f1,auroc,score_mode
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_rf_20260527_192521,rf,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.6711111111111111,0.6933333333333334,0.6488888888888888,0.6782608695652174,0.6636363636363637,0.6709486166007905,0.7498049382716049,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_svm_20260527_191841,svm,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.81,0.8244444444444444,0.7955555555555556,0.8127053669222344,0.8072153325817362,0.8099603497519853,0.8833925925925925,decision
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_svm_20260527_191841,svm,codesearchnet_gpt-oss_python_merged_4500,code,900,0.7666666666666667,0.7622222222222222,0.7711111111111111,0.765625,0.7676991150442478,0.7666620575221239,0.8374271604938273,decision
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_svm_20260527_191841,svm,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.7722222222222223,0.78,0.7644444444444445,0.7739801543550165,0.7704367301231803,0.7722084422390985,0.8504740740740742,decision
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_xgb_20260527_205503,xgb,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.7188888888888889,0.72,0.7177777777777777,0.7192008879023307,0.7185761957730812,0.718888541837706,,n/a
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_xgb_20260527_205503,xgb,codesearchnet_gpt-oss_python_merged_4500,code,900,0.6911111111111111,0.6755555555555556,0.7066666666666667,0.6862302483069977,0.6958424507658644,0.6910363495364311,,n/a
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_xgb_20260527_205503,xgb,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.7155555555555555,0.7355555555555555,0.6955555555555556,0.7211328976034859,0.7097505668934241,0.715441732248455,,n/a
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_xgb_20260527_205947,xgb,codesearchnet_gpt-oss_python_merged_4500,ast,900,0.7188888888888889,0.72,0.7177777777777777,0.7192008879023307,0.7185761957730812,0.718888541837706,0.8184296296296296,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_xgb_20260527_205947,xgb,codesearchnet_gpt-oss_python_merged_4500,code,900,0.6911111111111111,0.6755555555555556,0.7066666666666667,0.6862302483069977,0.6958424507658644,0.6910363495364311,0.7538320987654321,proba
codesearchnet_gpt-oss_4500_complexity_stratified_maxlen2048_xgb_20260527_205947,xgb,codesearchnet_gpt-oss_python_merged_4500,combined,900,0.7155555555555555,0.7355555555555555,0.6955555555555556,0.7211328976034859,0.7097505668934241,0.715441732248455,0.7906222222222223,proba
