dataset_source,repo_name,time,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,agc_function_change_event_ratio
treatment,tsukumijima/KonomiTV,2025-02,337,0,48,289,23,61,25,228,0.142433234421365
treatment,tsukumijima/KonomiTV,2025-03,54,0,3,51,0,3,3,48,0.05555555555555555
treatment,tsukumijima/KonomiTV,2025-04,85,0,21,64,11,12,10,52,0.24705882352941178
treatment,tsukumijima/KonomiTV,2025-05,4,0,0,4,0,0,0,4,0.0
treatment,tsukumijima/KonomiTV,2025-06,14,0,1,13,0,3,1,10,0.07142857142857142
treatment,tsukumijima/KonomiTV,2025-07,0,0,0,0,0,0,0,0,
treatment,tsukumijima/KonomiTV,2025-08,34,0,15,19,10,4,5,15,0.4411764705882353
treatment,tw-haiven/haiven,2024-04,1364,0,348,1016,262,465,86,551,0.25513196480938416
treatment,tw-haiven/haiven,2024-05,385,0,79,306,35,52,44,254,0.2051948051948052
treatment,tw-haiven/haiven,2024-06,13,0,0,13,0,0,0,13,0.0
treatment,tw-haiven/haiven,2024-07,23,0,9,14,5,3,4,11,0.391304347826087
treatment,tw-haiven/haiven,2024-08,743,0,153,590,72,125,81,465,0.20592193808882908
treatment,tw-haiven/haiven,2024-09,211,0,74,137,61,102,13,35,0.35071090047393366
treatment,tw-haiven/haiven,2024-10,204,0,37,167,18,47,19,120,0.18137254901960784
treatment,tw-haiven/haiven,2024-11,95,0,5,90,1,3,4,87,0.05263157894736842
treatment,tw-haiven/haiven,2024-12,53,0,2,51,1,7,1,44,0.03773584905660377
treatment,tw-haiven/haiven,2025-01,9,0,2,7,0,1,2,6,0.2222222222222222
treatment,tw-haiven/haiven,2025-02,51,0,8,43,5,14,3,29,0.1568627450980392
treatment,tw-haiven/haiven,2025-03,478,0,125,353,14,48,111,305,0.2615062761506276
treatment,tw-haiven/haiven,2025-04,120,0,14,106,5,8,9,98,0.11666666666666667
treatment,tw-haiven/haiven,2025-05,68,0,7,61,3,18,4,43,0.10294117647058823
treatment,tw-haiven/haiven,2025-06,42,0,1,41,0,7,1,34,0.023809523809523808
treatment,tw-haiven/haiven,2025-07,275,0,56,219,55,146,1,73,0.20363636363636364
treatment,tw-haiven/haiven,2025-08,2,0,1,1,0,0,1,1,0.5
treatment,utensils/mcp-nixos,2025-03,2092,0,415,1677,326,830,89,847,0.19837476099426385
treatment,utensils/mcp-nixos,2025-04,439,0,61,378,46,196,15,182,0.13895216400911162
treatment,utensils/mcp-nixos,2025-05,487,0,63,424,59,408,4,16,0.1293634496919918
treatment,utensils/mcp-nixos,2025-06,0,0,0,0,0,0,0,0,
treatment,utensils/mcp-nixos,2025-08,376,0,42,334,32,191,10,143,0.11170212765957446
treatment,vcs-python/vcspull,2024-01,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2024-02,34,0,3,31,0,0,3,31,0.08823529411764706
treatment,vcs-python/vcspull,2024-03,20,0,3,17,0,0,3,17,0.15
treatment,vcs-python/vcspull,2024-04,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2024-05,5,0,0,5,0,0,0,5,0.0
treatment,vcs-python/vcspull,2024-06,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2024-07,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2024-08,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2024-09,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2024-10,7,0,0,7,0,0,0,7,0.0
treatment,vcs-python/vcspull,2024-11,1,0,0,1,0,0,0,1,0.0
treatment,vcs-python/vcspull,2024-12,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2025-01,37,0,6,31,0,0,6,31,0.16216216216216217
treatment,vcs-python/vcspull,2025-02,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2025-03,1,0,1,0,0,0,1,0,1.0
treatment,vcs-python/vcspull,2025-04,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2025-05,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2025-06,1,0,0,1,0,0,0,1,0.0
treatment,vcs-python/vcspull,2025-07,0,0,0,0,0,0,0,0,
treatment,vcs-python/vcspull,2025-08,0,0,0,0,0,0,0,0,
treatment,vietanhdev/anylabeling,2024-06,2,0,0,2,0,0,0,2,0.0
treatment,vietanhdev/anylabeling,2024-07,0,0,0,0,0,0,0,0,
treatment,vietanhdev/anylabeling,2024-08,32,0,11,21,8,15,3,6,0.34375
treatment,vietanhdev/anylabeling,2024-10,0,0,0,0,0,0,0,0,
treatment,vietanhdev/anylabeling,2024-11,1,0,0,1,0,0,0,1,0.0
treatment,vietanhdev/anylabeling,2025-03,58,0,13,45,9,26,4,19,0.22413793103448276
treatment,vietanhdev/anylabeling,2025-04,15,0,2,13,0,0,2,13,0.13333333333333333
treatment,vietanhdev/anylabeling,2025-05,28,0,14,14,3,6,11,8,0.5
treatment,vietanhdev/anylabeling,2025-07,12,0,0,12,0,8,0,4,0.0
treatment,wdm0006/elote,2024-07,0,0,0,0,0,0,0,0,
treatment,wdm0006/elote,2025-02,281,0,115,166,29,93,86,73,0.4092526690391459
treatment,wdm0006/elote,2025-03,349,0,122,227,107,205,15,22,0.3495702005730659
treatment,wdm0006/elote,2025-04,274,0,73,201,4,17,69,184,0.2664233576642336
treatment,wdm0006/elote,2025-06,32,0,13,19,9,6,4,13,0.40625
treatment,wdm0006/git-pandas,2024-07,0,0,0,0,0,0,0,0,
treatment,wdm0006/git-pandas,2025-03,201,0,55,146,17,88,38,58,0.2736318407960199
treatment,wdm0006/git-pandas,2025-04,89,0,26,63,6,18,20,45,0.29213483146067415
treatment,wdm0006/git-pandas,2025-05,85,0,17,68,14,36,3,32,0.2
treatment,wdm0006/git-pandas,2025-06,250,0,25,225,16,201,9,24,0.1
treatment,wdm0006/git-pandas,2025-07,258,0,18,240,11,73,7,167,0.06976744186046512
treatment,wdm0006/pygeohash,2024-06,0,0,0,0,0,0,0,0,
treatment,wdm0006/pygeohash,2024-07,0,0,0,0,0,0,0,0,
treatment,wdm0006/pygeohash,2024-12,0,0,0,0,0,0,0,0,
treatment,wdm0006/pygeohash,2025-02,26,0,12,14,9,11,3,3,0.46153846153846156
treatment,wdm0006/pygeohash,2025-03,155,0,76,79,39,45,37,34,0.49032258064516127
treatment,wdm0006/pygeohash,2025-04,33,0,19,14,9,0,10,14,0.5757575757575758
treatment,wdm0006/pygeohash,2025-05,19,0,7,12,4,7,3,5,0.3684210526315789
treatment,wdm0006/pygeohash,2025-07,7,0,3,4,1,3,2,1,0.42857142857142855
treatment,whiteducksoftware/flock,2025-02,1359,0,358,1001,265,589,93,412,0.2634289919058131
treatment,whiteducksoftware/flock,2025-03,454,0,122,332,109,266,13,66,0.2687224669603524
treatment,whiteducksoftware/flock,2025-04,1443,0,342,1101,321,813,21,288,0.23700623700623702
treatment,whiteducksoftware/flock,2025-05,2424,0,605,1819,438,926,167,893,0.2495874587458746
treatment,whiteducksoftware/flock,2025-06,22,0,3,19,0,2,3,17,0.13636363636363635
treatment,whiteducksoftware/flock,2025-07,27,0,5,22,4,11,1,11,0.18518518518518517
treatment,whiteducksoftware/flock,2025-08,152,0,48,104,46,70,2,34,0.3157894736842105
treatment,xzq-xu/jvm-mcp-server,2025-03,132,0,32,100,29,77,3,23,0.24242424242424243
treatment,xzq-xu/jvm-mcp-server,2025-05,0,0,0,0,0,0,0,0,
treatment,xzq-xu/jvm-mcp-server,2025-06,234,0,37,197,28,122,9,75,0.1581196581196581
treatment,yagami1997/CursorMind,2025-03,143,0,39,104,39,104,0,0,0.2727272727272727
treatment,yagami1997/TradeMind,2025-02,79,0,29,50,14,28,15,22,0.3670886075949367
treatment,yagami1997/TradeMind,2025-03,353,0,61,292,56,182,5,110,0.17280453257790368
treatment,yagami1997/TradeMind,2025-04,0,0,0,0,0,0,0,0,
treatment,yagami1997/TradeMind,2025-05,30,0,3,27,3,16,0,11,0.1
treatment,yagami1997/TradeMind,2025-06,0,0,0,0,0,0,0,0,
treatment,yagami1997/TradeMind,2025-07,0,0,0,0,0,0,0,0,
treatment,yeagerai/genlayer-studio,2024-03,42,0,5,37,5,36,0,1,0.11904761904761904
treatment,yeagerai/genlayer-studio,2024-04,301,0,73,228,65,138,8,90,0.2425249169435216
treatment,yeagerai/genlayer-studio,2024-05,209,0,63,146,50,52,13,94,0.3014354066985646
treatment,yeagerai/genlayer-studio,2024-06,46,0,23,23,21,3,2,20,0.5
treatment,yeagerai/genlayer-studio,2024-07,456,0,175,281,145,197,30,84,0.38377192982456143
treatment,yeagerai/genlayer-studio,2024-08,140,0,43,97,25,7,18,90,0.30714285714285716
treatment,yeagerai/genlayer-studio,2024-09,442,0,154,288,84,97,70,191,0.34841628959276016
treatment,yeagerai/genlayer-studio,2024-10,140,0,35,105,22,18,13,87,0.25
treatment,yeagerai/genlayer-studio,2024-11,238,0,83,155,58,56,25,99,0.3487394957983193
treatment,yeagerai/genlayer-studio,2024-12,321,0,101,220,66,68,35,152,0.3146417445482866
treatment,yeagerai/genlayer-studio,2025-01,123,0,24,99,17,21,7,78,0.1951219512195122
treatment,yeagerai/genlayer-studio,2025-02,309,0,82,227,47,38,35,189,0.26537216828478966
treatment,yeagerai/genlayer-studio,2025-03,14,0,0,14,0,3,0,11,0.0
treatment,yeagerai/genlayer-studio,2025-04,180,0,39,141,22,22,17,119,0.21666666666666667
treatment,yeagerai/genlayer-studio,2025-05,168,0,45,123,34,60,11,63,0.26785714285714285
treatment,yeagerai/genlayer-studio,2025-06,225,0,53,172,37,41,16,131,0.23555555555555555
treatment,yeagerai/genlayer-studio,2025-07,283,0,57,226,45,81,12,145,0.20141342756183744
treatment,yeagerai/genlayer-studio,2025-08,121,0,31,90,29,60,2,30,0.256198347107438
treatment,zauberzeug/nicegui,2024-01,227,0,93,134,26,42,67,92,0.40969162995594716
treatment,zauberzeug/nicegui,2024-02,158,0,55,103,24,38,31,65,0.34810126582278483
treatment,zauberzeug/nicegui,2024-03,166,0,62,104,37,36,25,68,0.37349397590361444
treatment,zauberzeug/nicegui,2024-04,346,0,102,244,47,46,55,198,0.2947976878612717
treatment,zauberzeug/nicegui,2024-05,153,0,53,100,37,53,16,47,0.3464052287581699
treatment,zauberzeug/nicegui,2024-06,71,0,22,49,17,30,5,19,0.30985915492957744
treatment,zauberzeug/nicegui,2024-07,62,0,16,46,6,20,10,26,0.25806451612903225
treatment,zauberzeug/nicegui,2024-08,537,0,183,354,114,178,69,176,0.3407821229050279
treatment,zauberzeug/nicegui,2024-09,145,0,69,76,15,17,54,59,0.47586206896551725
treatment,zauberzeug/nicegui,2024-10,81,0,31,50,4,13,27,37,0.38271604938271603
treatment,zauberzeug/nicegui,2024-11,79,0,17,62,9,28,8,34,0.21518987341772153
treatment,zauberzeug/nicegui,2024-12,70,0,16,54,11,22,5,32,0.22857142857142856
treatment,zauberzeug/nicegui,2025-01,138,0,41,97,27,30,14,67,0.2971014492753623
treatment,zauberzeug/nicegui,2025-02,92,0,18,74,9,25,9,49,0.1956521739130435
treatment,zauberzeug/nicegui,2025-03,110,0,34,76,13,27,21,49,0.3090909090909091
treatment,zauberzeug/nicegui,2025-04,156,0,50,106,23,30,27,76,0.32051282051282054
treatment,zauberzeug/nicegui,2025-05,133,0,41,92,25,28,16,64,0.3082706766917293
treatment,zauberzeug/nicegui,2025-06,82,0,44,38,5,9,39,29,0.5365853658536586
treatment,zauberzeug/nicegui,2025-07,316,0,122,194,110,136,12,58,0.3860759493670886
treatment,zauberzeug/nicegui,2025-08,619,0,224,395,29,33,195,362,0.36187399030694667
treatment,zilliztech/mcp-server-milvus,2025-03,80,0,24,56,14,34,10,22,0.3
treatment,zilliztech/mcp-server-milvus,2025-04,1,0,1,0,0,0,1,0,1.0
treatment,zilliztech/mcp-server-milvus,2025-05,9,0,5,4,0,2,5,2,0.5555555555555556
treatment,zilliztech/mcp-server-milvus,2025-06,4,0,0,4,0,1,0,3,0.0
